location_id,place_name,category,google_rating,entry_fee
49,Panambur Beach,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.5,0
50,Fort Bijapur,Cultural & Heritage Sites,4.3,70
51,Jamiya Masjid,"Cultural & Heritage Sites, Religious & Spiritual Pilgrimages",4.2,0
51,Shivgiri Temple,Religious & Spiritual Pilgrimages,4.5,0
51,Bara Kaman,Cultural & Heritage Sites,4.2,0
51,Gol Gumbaz museum,"Cultural & Heritage Sites, Arts, Science & Literature Attractions",4.5,0
51,Gol Gumbaz,Cultural & Heritage Sites,4.5,0
52,Phoenix Marketcity Pune,Shopping & Markets,4.5,0
52,Chatushrungi Devi Temple,Religious & Spiritual Pilgrimages,4.6,0
52,Pune-Okayama Friendship Garden,Sightseeing & Exploration,4.5,0
52,Raja Dinkar Kelkar Museum,"Arts, Science & Literature Attractions",4.4,300
52,Sinhagad Fort,Cultural & Heritage Sites,4.6,10
52,Rajiv Gandhi zoo,Natural Landscapes & Wildlife,4.1,40
52,Dagadusheth Halwai Ganapati temple,Religious & Spiritual Pilgrimages,4.8,0
53,Shaniwar Wada,Cultural & Heritage Sites,4.4,50
54,Prozone Mall,Shopping & Markets,4.3,0
54,Bibi ka Maqbara,Cultural & Heritage Sites,4.2,0
54,Ellora Caves,Cultural & Heritage Sites,4.7,40
54,Daulatabad Fort,Cultural & Heritage Sites,4.8,10
55,Ajanta Caves,Cultural & Heritage Sites,4.6,30
56,Trimbakeshwar Jyotirling Mandir,Religious & Spiritual Pilgrimages,4.6,0
56,Pandav Leni caves,Cultural & Heritage Sites,4.6,0
57,Water Sports in Alibaug,Adventure & Outdoor Activities,4.9,0
57,Kolaba Fort,Cultural & Heritage Sites,4.2,20
58,Alibaug Beach,Natural Landscapes & Wildlife,4.2,0
59,Jaigad Fort,Cultural & Heritage Sites,4.1,0
60,Tilak Ali Museum,"Arts, Science & Literature Attractions",4.6,0
61,Ganapatipule Temple,Religious & Spiritual Pilgrimages,4.7,0
62,Umred Karhandla Wildlife Sanctuary,Natural Landscapes & Wildlife,4.2,150
62,Tadoba Andhari Tiger Project,Natural Landscapes & Wildlife,4.5,25
62,Khindsi Lake water sports,Adventure & Outdoor Activities,4.0,0
62,Khindsi Lake,Natural Landscapes & Wildlife,4.0,0
62,Ambazari Lake & Garden,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.0,0
62,Raman Science Centre,"Arts, Science & Literature Attractions",4.5,15
62,Krazy Castle Aqua Park,Adventure & Outdoor Activities,4.0,490
63,Deekshabhoomi,Cultural & Heritage Sites,4.5,0
64,Chhatrapati Shahu Palace,Cultural & Heritage Sites,4.5,25
